home,away,year,home_point,away_point
Qatar , Ecuador,2022,0.7109988443205616,2.101000218663572
Senegal , Netherlands,2022,0.7334116006440856,1.4152467339470733
Qatar , Senegal,2022,0.3164763315048306,2.254922713433978
Netherlands , Ecuador,2022,1.102207954220268,0.30503469483407786
Ecuador , Senegal,2022,0.7459813235132201,1.3516461942962654
Netherlands , Qatar,2022,1.8676851310070077,0.11162194167700654
England , Iran,2022,0.0,0.0
United States , Wales,2022,0.0,0.0
Wales , Iran,2022,0.0,0.0
England , United States,2022,0.0,0.0
Wales , England,2022,0.05798476714542271,1.887878200157026
Iran , United States,2022,0.0,0.0
Argentina , Saudi Arabia,2022,1.092026273515546,0.4118407450465128
Mexico , Poland,2022,1.1891001599190445,0.752602642269593
Poland , Saudi Arabia,2022,0.9649893423367949,0.9293488918657035
Argentina , Mexico,2022,1.1228941857589758,0.9380798379947337
Poland , Argentina,2022,0.5741470126197331,1.250284059861454
Saudi Arabia , Mexico,2022,0.5828033036576648,1.0526735774854086
Denmark , Tunisia,2022,1.2619918631680962,0.8358974000783732
France , Australia,2022,1.140855085699512,0.5046552678235372
Tunisia , Australia,2022,0.6716811891841856,0.9059637540777461
France , Denmark,2022,1.3832622722161716,0.6564471232673541
Australia , Denmark,2022,0.714452446282234,0.8009880597004109
Tunisia , France,2022,0.46074981029066614,1.4677980590169597
Germany , Japan,2022,0.7587266141293252,0.39034916632910804
Spain , Costa Rica,2022,0.8300741410988598,0.20394649722243813
Japan , Costa Rica,2022,1.1915416342928886,0.6667858429642901
Spain , Germany,2022,0.7551522411372238,0.495046732285608
Japan , Spain,2022,0.4473274774627656,1.054323996831137
Costa Rica , Germany,2022,0.1506817794510214,0.5975209561917717
Morocco , Croatia,2022,1.1354219455569425,1.1000661930780902
Belgium , Canada,2022,1.640259674298767,0.09737673846898778
Belgium , Morocco,2022,0.9566076724044198,1.034161690189348
Croatia , Canada,2022,1.893968705907526,0.15568485123112996
Croatia , Belgium,2022,0.8472959173460217,0.7325770065495731
Canada , Morocco,2022,0.20697134751005208,2.159364006834107
Switzerland , Cameroon,2022,1.4478241867612258,1.006111409855219
Brazil , Serbia,2022,1.242360803269161,0.2847727322460689
Cameroon , Serbia,2022,1.2411619746281781,1.305452283854536
Brazil , Switzerland,2022,1.3007689815503967,0.4153670225131404
Serbia , Switzerland,2022,1.010192585391522,1.3158112072905208
Cameroon , Brazil,2022,0.2889182791884725,1.309768643017767
Uruguay , South Korea,2022,0.0,0.0
Portugal , Ghana,2022,1.4533203246718578,0.6715278281467927
South Korea , Ghana,2022,0.0,0.0
Portugal , Uruguay,2022,1.1434447819092242,0.5754903647545997
Ghana , Uruguay,2022,1.1311797425395553,1.1763640134386364
South Korea , Portugal,2022,0.0,0.0
