Date,Home_Team,Home Team Goals,Away_Team,Away Team Goals,Home Team Initials,Away Team Initials
1998,Brazil,2,Scotland,1,BRA,SCO
1998,Morocco,2,Norway,2,MAR,NOR
1998,Italy,2,Chile,2,ITA,CHI
1998,Cameroon,1,Austria,1,CMR,AUT
1998,Paraguay,0,Bulgaria,0,PAR,BUL
1998,Saudi Arabia,0,Denmark,1,KSA,DEN
1998,France,3,South Africa,0,FRA,RSA
1998,Spain,2,Nigeria,3,ESP,NGA
1998,Netherlands,0,Belgium,0,NED,BEL
1998,Argentina,1,Japan,0,ARG,JPN
1998,Jamaica,1,Croatia,3,JAM,CRO
1998,England,2,Tunisia,0,ENG,TUN
1998,Romania,1,Colombia,0,ROU,COL
1998,Scotland,1,Norway,1,SCO,NOR
1998,Brazil,3,Morocco,0,BRA,MAR
1998,Chile,1,Austria,1,CHI,AUT
1998,Italy,3,Cameroon,0,ITA,CMR
1998,South Africa,1,Denmark,1,RSA,DEN
1998,France,4,Saudi Arabia,0,FRA,KSA
1998,Nigeria,1,Bulgaria,0,NGA,BUL
1998,Spain,0,Paraguay,0,ESP,PAR
1998,Japan,0,Croatia,1,JPN,CRO
1998,Belgium,2,Mexico,2,BEL,MEX
1998,Argentina,5,Jamaica,0,ARG,JAM
1998,Colombia,1,Tunisia,0,COL,TUN
1998,Romania,2,England,1,ROU,ENG
1998,Italy,2,Austria,1,ITA,AUT
1998,Chile,1,Cameroon,1,CHI,CMR
1998,Scotland,0,Morocco,3,SCO,MAR
1998,Brazil,1,Norway,2,BRA,NOR
1998,France,2,Denmark,1,FRA,DEN
1998,South Africa,2,Saudi Arabia,2,RSA,KSA
1998,Spain,6,Bulgaria,1,ESP,BUL
1998,Nigeria,1,Paraguay,3,NGA,PAR
1998,Netherlands,2,Mexico,2,NED,MEX
1998,Germany,2,Iran,0,GER,IRN
1998,Japan,1,Jamaica,2,JPN,JAM
1998,Argentina,1,Croatia,0,ARG,CRO
1998,Romania,1,Tunisia,1,ROU,TUN
1998,Colombia,0,England,2,COL,ENG
1998,Italy,1,Norway,0,ITA,NOR
1998,Brazil,4,Chile,1,BRA,CHI
