Date,Home_Team,Home Team Goals,Away_Team,Away Team Goals,Home Team Initials,Away Team Initials
1998,Malawi,1,Zimbabwe,0,MWI,ZIM
1998,Barbados,0,Trinidad and Tobago,1,BRB,TRI
1998,Burkina Faso,1,Mozambique,0,BFA,MOZ
1998,Guinea,1,Togo,0,GUI,TOG
1998,Malawi,0,Zimbabwe,2,MWI,ZIM
1998,Burkina Faso,4,Mozambique,2,BFA,MOZ
1998,Trinidad and Tobago,0,Jamaica,0,TRI,JAM
1998,Malawi,0,Zambia,1,MWI,ZAM
1998,Eswatini,1,Botswana,1,SWZ,BOT
1998,Burkina Faso,0,Mali,0,BFA,MLI
1998,Togo,1,Mozambique,2,TOG,MOZ
1998,Lesotho,0,Botswana,0,LES,BOT
1998,Ghana,0,Mozambique,0,GHA,MOZ
1998,Morocco,2,Angola,1,MAR,ANG
1998,Gambia,0,Zambia,2,GAM,ZAM
1998,Lesotho,0,Zimbabwe,2,LES,ZIM
1998,Ghana,3,Mozambique,1,GHA,MOZ
1998,Costa Rica,1,Honduras,4,CRC,HON
1998,El Salvador,2,Trinidad and Tobago,0,SLV,TRI
1998,Turkey,1,Albania,4,TUR,ALB
1998,Namibia,3,South Africa,2,NAM,RSA
1998,Botswana,1,Mozambique,2,BOT,MOZ
1998,Thailand,1,Egypt,1,THA,EGY
1998,Liberia,1,Burkina Faso,2,LBR,BFA
1998,Cameroon,1,Angola,0,CMR,ANG
1998,France,1,Spain,0,FRA,ESP
1998,Italy,3,Slovakia,0,ITA,SVK
1998,Jamaica,0,Sweden,0,JAM,SWE
1998,Togo,2,Mali,1,TOG,MLI
1998,Niger,2,Namibia,1,NIG,NAM
1998,Tunisia,4,Guinea,1,TUN,GUI
1998,Burkina Faso,3,Namibia,1,BFA,NAM
1998,Guatemala,0,El Salvador,0,GUA,SLV
1998,Honduras,1,Trinidad and Tobago,3,HON,TRI
1998,Togo,0,Mali,4,TOG,MLI
1998,Brazil,0,Jamaica,0,BRA,JAM
1998,Cuba,2,Costa Rica,7,CUB,CRC
1998,Mali,0,Tunisia,1,MLI,TUN
1998,New Zealand,0,Chile,0,NZL,CHI
1998,Trinidad and Tobago,2,Mexico,4,TRI,MEX
1998,Brazil,1,Guatemala,1,BRA,GUA
1998,Cyprus,1,Finland,1,CYP,FIN
1998,Iceland,2,Slovenia,3,ISL,SVN
1998,Morocco,3,Niger,0,MAR,NIG
1998,Georgia,2,Latvia,1,GEO,LVA
1998,Malta,1,Albania,1,MLT,ALB
1998,Slovenia,1,Slovakia,1,SVN,SVK
1998,Australia,0,Chile,1,AUS,CHI
1998,Burkina Faso,0,Cameroon,1,BFA,CMR
1998,Iceland,1,Slovakia,2,ISL,SVK
1998,Mexico,2,Honduras,0,MEX,HON
1998,Albania,0,Georgia,3,ALB,GEO
1998,Algeria,0,Guinea,1,ALG,GUI
1998,El Salvador,0,Brazil,4,SLV,BRA
1998,Guatemala,2,Jamaica,3,GUA,JAM
1998,Malta,2,Latvia,1,MLT,LVA
1998,Paraguay,4,Poland,0,PAR,POL
1998,South Africa,0,Angola,0,RSA,ANG
1998,Cyprus,1,Slovenia,0,CYP,SVN
1998,Finland,0,Slovakia,2,FIN,SVK
1998,Ghana,2,Tunisia,0,GHA,TUN
1998,Jamaica,2,El Salvador,0,JAM,SLV
1998,Zambia,1,Morocco,1,ZAM,MAR
1998,Albania,2,Latvia,2,ALB,LVA
1998,Egypt,2,Mozambique,0,EGY,MOZ
1998,Malta,1,Georgia,3,MLT,GEO
1998,Burkina Faso,2,Algeria,1,BFA,ALG
1998,Cameroon,2,Guinea,2,CMR,GUI
1998,England,0,Chile,2,ENG,CHI
1998,Angola,3,Namibia,3,ANG,NAM
1998,Ghana,1,Togo,2,GHA,TOG
1998,Jamaica,0,Mexico,1,JAM,MEX
1998,Morocco,3,Mozambique,0,MAR,MOZ
1998,Zambia,0,Egypt,4,ZAM,EGY
1998,Australia,0,Japan,3,AUS,JPN
1998,Brazil,1,Jamaica,0,BRA,JAM
1998,Burkina Faso,1,Guinea,0,BFA,GUI
1998,Cameroon,2,Algeria,1,CMR,ALG
1998,South Africa,4,Namibia,1,RSA,NAM
1998,Tunisia,3,Togo,1,TUN,TOG
1998,Egypt,0,Morocco,1,EGY,MAR
1998,Zambia,3,Mozambique,1,ZAM,MOZ
1998,Greece,1,Russia,1,GRE,RUS
1998,Israel,4,Turkey,0,ISR,TUR
1998,Oman,0,Germany,2,OMA,GER
1998,Burkina Faso,1,Tunisia,1,BFA,TUN
1998,Antigua and Barbuda,1,Dominica,1,ATG,DMA
1998,Jamaica,2,Nigeria,2,JAM,NGA
1998,Morocco,1,South Africa,2,MAR,RSA
1998,Saudi Arabia,0,Germany,3,KSA,GER
1998,Mexico,2,Netherlands,3,MEX,NED
1998,Burkina Faso,0,Egypt,2,BFA,EGY
1998,France,3,Norway,3,FRA,NOR
1998,Israel,2,Poland,0,ISR,POL
1998,South Africa,0,Egypt,2,RSA,EGY
1998,Japan,5,Hong Kong,1,JPN,HKG
1998,Aruba,3,Suriname,3,ARU,SUR
1998,Eswatini,0,Angola,1,SWZ,ANG
1998,Argentina,2,Bulgaria,0,ARG,BUL
1998,Haiti,4,Puerto Rico,0,HAI,PUR
1998,Dominican Republic,3,Puerto Rico,1,DOM,PUR
1998,Haiti,5,Dominican Republic,0,HAI,DOM
1998,Myanmar,3,Laos,0,MYA,LAO
1998,Mexico,1,Paraguay,1,MEX,PAR
1998,Romania,0,Israel,1,ROU,ISR
1998,Azerbaijan,1,Moldova,0,AZE,MDA
1998,Singapore,1,Philippines,0,SGP,PHI
1998,Austria,2,Hungary,3,AUT,HUN
1998,Belgium,2,Norway,2,BEL,NOR
1998,Czech Republic,2,Republic of Ireland,1,CZE,IRL
1998,Germany,1,Brazil,2,GER,BRA
1998,North Macedonia,1,Bulgaria,0,MKD,BUL
1998,Malta,0,Finland,2,MLT,FIN
1998,Northern Ireland,1,Slovakia,0,NIR,SVK
1998,Poland,2,Slovenia,0,POL,SVN
1998,Russia,1,France,0,RUS,FRA
