date,home_team,Home Team Goals,away_team,Away Team Goals,Home Team Initials,Away Team Initials
1993-08-08,Bolivia,3,Uruguay,1,BOL,URU
1993-08-08,Brazil,1,Mexico,1,BRA,MEX
1993-08-08,Ecuador,5,Venezuela,0,ECU,VEN
1993-08-08,Guinea,1,Sierra Leone,0,GUI,SLE
1993-08-08,Paraguay,1,Argentina,3,PAR,ARG
1993-08-08,Peru,0,Colombia,1,PER,COL
1993-08-08,Zimbabwe,2,Eswatini,0,ZIM,SWZ
1993-08-09,Guinea,4,Sierra Leone,0,GUI,SLE
1993-08-11,Faroe Islands,0,Norway,7,FRO,NOR
1993-08-11,Sweden,1,Switzerland,2,SWE,SUI
1993-08-15,Australia,2,Canada,1,AUS,CAN
1993-08-15,Bolivia,1,Ecuador,0,BOL,ECU
1993-08-15,Colombia,2,Argentina,1,COL,ARG
1993-08-15,Congo,0,Guinea,0,CGO,GUI
1993-08-15,Uruguay,1,Brazil,1,URU,BRA
1993-08-22,Argentina,2,Peru,1,ARG,PER
1993-08-22,Bolivia,7,Venezuela,0,BOL,VEN
1993-08-22,Brazil,2,Ecuador,0,BRA,ECU
1993-08-22,Paraguay,1,Colombia,1,PAR,COL
1993-08-22,Sweden,1,France,1,SWE,FRA
1993-08-25,Austria,3,Finland,0,AUT,FIN
1993-08-25,Denmark,4,Lithuania,0,DEN,LTU
1993-08-29,Argentina,0,Paraguay,0,ARG,PAR
1993-08-29,Brazil,6,Bolivia,0,BRA,BOL
1993-08-29,Colombia,4,Peru,0,COL,PER
1993-08-29,Uruguay,4,Venezuela,0,URU,VEN
1993-09-05,Argentina,0,Colombia,5,ARG,COL
1993-09-05,Brazil,4,Venezuela,0,BRA,VEN
1993-09-05,Ecuador,0,Uruguay,1,ECU,URU
1993-09-05,Estonia,0,Portugal,2,EST,POR
1993-09-05,Peru,2,Paraguay,2,PER,PAR
1993-09-06,Eswatini,0,Zimbabwe,1,SWZ,ZIM
1993-09-08,Albania,0,Denmark,1,ALB,DEN
1993-09-08,Bulgaria,1,Sweden,1,BUL,SWE
1993-09-08,England,3,Poland,0,ENG,POL
1993-09-08,Faroe Islands,0,Romania,4,FRO,ROU
1993-09-08,Finland,0,France,2,FIN,FRA
1993-09-08,Hungary,1,Russia,3,HUN,RUS
1993-09-08,Iceland,1,Luxembourg,0,ISL,LUX
1993-09-08,Republic of Ireland,2,Lithuania,0,IRL,LTU
1993-09-08,Northern Ireland,2,Latvia,0,NIR,LVA
1993-09-08,Scotland,1,Switzerland,1,SCO,SUI
1993-09-08,Spain,2,Chile,0,ESP,CHI
1993-09-12,Uruguay,2,Bolivia,1,URU,BOL
1993-09-12,Venezuela,2,Ecuador,1,VEN,ECU
1993-09-15,Morocco,3,Mali,0,MAR,MLI
1993-09-17,Saudi Arabia,4,Thailand,0,KSA,THA
1993-09-19,Brazil,2,Uruguay,0,BRA,URU
1993-09-19,Ecuador,1,Bolivia,1,ECU,BOL
1993-09-19,Zimbabwe,2,Senegal,0,ZIM,SEN
1993-09-20,Saudi Arabia,3,Thailand,0,KSA,THA
1993-09-22,Albania,1,Spain,5,ALB,ESP
1993-09-22,Estonia,0,Italy,3,EST,ITA
1993-09-22,Mexico,1,Cameroon,0,MEX,CMR
1993-09-22,Norway,1,Poland,0,NOR,POL
1993-09-22,Romania,1,Israel,0,ROU,ISR
1993-09-22,San Marino,0,Netherlands,7,SMR,NED
1993-09-22,Tunisia,1,Germany,1,TUN,GER
1993-09-23,Saudi Arabia,1,Costa Rica,2,KSA,CRC
1993-09-26,Zambia,4,Senegal,0,ZAM,SEN
1993-09-26,Zimbabwe,1,Guinea,0,ZIM,GUI
1993-09-27,Saudi Arabia,3,Costa Rica,2,KSA,CRC
1993-09-29,Mexico,0,Poland,0,MEX,POL
1993-10-01,Morocco,1,Gabon,0,MAR,GAB
1993-10-05,Cyprus,2,Israel,2,CYP,ISR
1993-10-06,Belgium,2,Gabon,1,BEL,GAB
1993-10-06,Mexico,4,South Africa,0,MEX,RSA
1993-10-06,Saudi Arabia,4,Russia,2,KSA,RUS
1993-10-08,Algeria,1,Nigeria,1,ALG,NGA
1993-10-10,Cameroon,3,Zimbabwe,1,CMR,ZIM
1993-10-10,Morocco,1,Zambia,0,MAR,ZAM
1993-10-12,Luxembourg,1,Greece,3,LUX,GRE
1993-10-13,Bulgaria,4,Austria,1,BUL,AUT
1993-10-13,Denmark,1,Northern Ireland,0,DEN,NIR
1993-10-13,France,2,Israel,3,FRA,ISR
1993-10-13,Germany,5,Uruguay,0,GER,URU
1993-10-13,Republic of Ireland,1,Spain,3,IRL,ESP
1993-10-13,Italy,3,Scotland,1,ITA,SCO
1993-10-13,Netherlands,2,England,0,NED,ENG
1993-10-13,Poland,0,Norway,3,POL,NOR
1993-10-13,Portugal,1,Switzerland,0,POR,SUI
1993-10-13,Romania,2,Belgium,1,ROU,BEL
1993-10-13,Sweden,3,Finland,2,SWE,FIN
1993-10-13,Wales,2,Cyprus,0,WAL,CYP
1993-10-15,Saudi Arabia,0,Japan,0,KSA,JPN
1993-10-17,Tunisia,3,Iceland,1,TUN,ISL
1993-10-20,Mexico,2,Ukraine,1,MEX,UKR
1993-10-24,Burundi,0,Guinea,0,BDI,GUI
1993-10-24,Iraq,1,Saudi Arabia,1,IRQ,KSA
1993-10-26,Liechtenstein,0,Estonia,2,LIE,EST
1993-10-26,United Arab Emirates,2,Jordan,1,UAE,JOR
1993-10-27,Hungary,1,Luxembourg,0,HUN,LUX
1993-10-27,Israel,1,Austria,1,ISR,AUT
1993-10-27,Turkey,2,Poland,1,TUR,POL
1993-10-28,Iraq,2,Japan,2,IRQ,JPN
1993-10-28,United Arab Emirates,0,Jordan,2,UAE,JOR
1993-10-31,Australia,1,Argentina,1,AUS,ARG
1993-11-05,Egypt,3,Malta,0,EGY,MLT
1993-11-05,Tunisia,4,Gabon,0,TUN,GAB
1993-11-07,Gabon,1,Malta,2,GAB,MLT
1993-11-07,Tunisia,2,Egypt,1,TUN,EGY
1993-11-10,Austria,1,Sweden,1,AUT,SWE
1993-11-10,Israel,1,Finland,3,ISR,FIN
1993-11-10,Portugal,3,Estonia,0,POR,EST
1993-11-10,Turkey,2,Norway,1,TUR,NOR
1993-11-17,Argentina,1,Australia,0,ARG,AUS
1993-11-17,France,1,Bulgaria,2,FRA,BUL
1993-11-17,Germany,2,Brazil,1,GER,BRA
1993-11-17,Greece,1,Russia,0,GRE,RUS
1993-11-17,Italy,1,Portugal,0,ITA,POR
1993-11-17,Malta,0,Scotland,2,MLT,SCO
1993-11-17,Northern Ireland,1,Republic of Ireland,1,NIR,IRL
1993-11-17,Poland,1,Netherlands,3,POL,NED
1993-11-17,San Marino,1,England,7,SMR,ENG
1993-11-17,Spain,1,Denmark,0,ESP,DEN
1993-11-17,Switzerland,4,Estonia,0,SUI,EST
1993-11-17,Wales,1,Romania,2,WAL,ROU
1993-11-22,Gambia,2,Mauritania,4,GAM,MTN
1993-11-26,Gambia,3,Ghana,0,GAM,GHA
1993-11-26,Sierra Leone,1,Guinea,1,SLE,GUI
1993-11-27,Guinea-Bissau,1,Mauritania,0,GNB,MTN
1993-11-27,Senegal,0,Mali,1,SEN,MLI
1993-11-28,Guinea,1,Gambia,2,GUI,GAM
1993-11-28,Sierra Leone,2,Ghana,3,SLE,GHA
1993-11-29,Mali,3,Guinea-Bissau,0,MLI,GNB
1993-11-29,Senegal,4,Mauritania,0,SEN,MTN
1993-11-30,Ghana,1,Guinea,0,GHA,GUI
1993-11-30,Sierra Leone,1,Gambia,1,SLE,GAM
1993-11-30,Tahiti,3,Fiji,0,TAH,FIJ
1993-12-01,Kenya,2,Uganda,1,KEN,UGA
1993-12-01,Mali,0,Mauritania,0,MLI,MTN
1993-12-01,Senegal,0,Guinea-Bissau,0,SEN,GNB
1993-12-03,Gambia,0,Senegal,2,GAM,SEN
1993-12-03,Sierra Leone,2,Mali,0,SLE,MLI
1993-12-05,Gambia,2,Mali,0,GAM,MLI
1993-12-05,Sierra Leone,2,Senegal,0,SLE,SEN
1993-12-06,Tanzania,1,Uganda,0,TAN,UGA
1993-12-10,Bangladesh,3,Myanmar,1,BAN,MYA
1993-12-10,Kenya,2,Tanzania,1,KEN,TAN
1993-12-15,Argentina,2,Germany,1,ARG,GER
1993-12-16,Mexico,0,Brazil,1,MEX,BRA
1993-12-22,Mexico,0,Germany,0,MEX,GER
1993-12-29,Ghana,0,Egypt,0,GHA,EGY
1993-12-31,Ghana,1,Tunisia,1,GHA,TUN
1994-01-02,Barbados,0,Grenada,0,BRB,GRN
1994-01-02,Ghana,2,Egypt,1,GHA,EGY
1994-01-05,Mali,1,Burkina Faso,1,MLI,BFA
1994-01-09,Mauritania,1,Mali,3,MTN,MLI
1994-01-11,Thailand,1,Nigeria,1,THA,NGA
1994-01-19,Costa Rica,0,Norway,0,CRC,NOR
1994-01-19,Mexico,1,Bulgaria,1,MEX,BUL
1994-01-19,Spain,2,Portugal,2,ESP,POR
1994-01-19,Tunisia,2,Netherlands,2,TUN,NED
1994-01-23,Barbados,0,Puerto Rico,1,BRB,PUR
1994-01-23,Mali,1,Senegal,0,MLI,SEN
1994-01-23,Suriname,2,Guyana,0,SUR,GUY
1994-01-25,Grenada,1,Puerto Rico,0,GRN,PUR
1994-01-25,Qatar,1,Finland,0,QAT,FIN
1994-01-26,Mexico,1,Switzerland,5,MEX,SUI
1994-01-27,Barbados,3,Grenada,2,BRB,GRN
1994-01-27,Qatar,0,Finland,0,QAT,FIN
1994-01-28,Venezuela,1,Colombia,2,VEN,COL
1994-01-29,Burkina Faso,1,Guinea,1,BFA,GUI
1994-01-30,Guinea,1,Niger,3,GUI,NIG
1994-01-30,Oman,0,Finland,2,OMA,FIN
1994-01-30,Senegal,0,Mali,0,SEN,MLI
1994-02-01,Oman,1,Finland,1,OMA,FIN
1994-02-02,Egypt,1,Morocco,1,EGY,MAR
1994-02-02,Mexico,1,Russia,4,MEX,RUS
1994-02-02,United Arab Emirates,0,Slovakia,1,UAE,SVK
1994-02-04,Egypt,1,Slovakia,0,EGY,SVK
1994-02-04,Oman,1,Kenya,0,OMA,KEN
1994-02-04,United Arab Emirates,1,Morocco,1,UAE,MAR
1994-02-06,Morocco,2,Slovakia,1,MAR,SVK
1994-02-06,Oman,2,Kenya,0,OMA,KEN
1994-02-06,Saudi Arabia,1,Colombia,1,KSA,COL
1994-02-06,United Arab Emirates,0,Egypt,1,UAE,EGY
1994-02-07,Gambia,0,Senegal,0,GAM,SEN
1994-02-08,Malta,1,Tunisia,1,MLT,TUN
1994-02-09,Spain,1,Poland,1,ESP,POL
1994-02-10,Slovenia,2,Tunisia,2,SVN,TUN
1994-02-12,Malawi,0,Zambia,3,MWI,ZAM
1994-02-12,Malta,0,Slovenia,1,MLT,SVN
1994-02-13,Malawi,0,Zambia,2,MWI,ZAM
1994-02-16,Italy,0,France,1,ITA,FRA
1994-02-16,Malta,1,Belgium,0,MLT,BEL
1994-02-18,Colombia,0,Sweden,0,COL,SWE
1994-02-20,Bolivia,0,Colombia,2,BOL,COL
