home,away,year,home_point,away_point
Qatar , Ecuador,2022,0.7615973904923816,2.307961710692134
Senegal , Netherlands,2022,1.0157081924577644,2.069818053335226
Qatar , Senegal,2022,0.3298685706009429,2.707117612879417
Netherlands , Ecuador,2022,2.650811454460905,0.4062328807010866
Ecuador , Senegal,2022,0.8452298706397126,2.1859388478903226
Netherlands , Qatar,2022,2.8676128049562597,0.15169761881401533
England , Iran,2022,0.0,0.0
United States , Wales,2022,0.0,0.0
Wales , Iran,2022,0.0,0.0
England , United States,2022,0.0,0.0
Wales , England,2022,0.05808424975322615,2.954973368619261
Iran , United States,2022,0.0,0.0
Argentina , Saudi Arabia,2022,2.5410748504974805,0.49227807456917666
Mexico , Poland,2022,2.0601332297949564,1.002645734070654
Poland , Saudi Arabia,2022,1.649353253567415,1.4395981624229341
Argentina , Mexico,2022,1.7611781672774496,1.3173857756889935
Poland , Argentina,2022,0.7007032119575226,2.3509594224208277
Saudi Arabia , Mexico,2022,0.756283739687609,2.296434614280277
Denmark , Tunisia,2022,1.8829803994977588,1.17376143144825
France , Australia,2022,2.390153608216374,0.6715507041150492
Tunisia , Australia,2022,1.0675214513759494,1.9735261849997778
France , Denmark,2022,2.247037999019882,0.8235852432192646
Australia , Denmark,2022,1.5393840076163587,1.4786418957963505
Tunisia , France,2022,0.4937099347339586,2.547591194374284
Germany , Japan,2022,2.340577941376105,0.674337947277311
Spain , Costa Rica,2022,2.7847221424073574,0.23200223953662522
Japan , Costa Rica,2022,2.1463573813177756,0.8920020139516937
Spain , Germany,2022,1.873502162038982,1.2087086382523216
Japan , Spain,2022,0.6243990400812158,2.414044471919172
Costa Rica , Germany,2022,0.2760184361079251,2.7601688311744463
Morocco , Croatia,2022,1.6048984043769001,1.4833040990042166
Belgium , Canada,2022,2.899424321565798,0.11478352872760175
Belgium , Morocco,2022,1.5870983729381762,1.491084419757619
Croatia , Canada,2022,2.8562436842183807,0.1592965504246234
Croatia , Belgium,2022,1.5188348422566367,1.5625003890157438
Canada , Morocco,2022,0.17247949840130408,2.8450639812672733
Switzerland , Cameroon,2022,1.9929541952496193,1.048485462428815
Brazil , Serbia,2022,2.6326923010079155,0.4243349870647325
Cameroon , Serbia,2022,1.4452363682869511,1.6007909828085454
Brazil , Switzerland,2022,2.4564142821970094,0.5949700880875075
Serbia , Switzerland,2022,1.2246807216798883,1.8249562994741604
Cameroon , Brazil,2022,0.32267150675682793,2.6894486830057613
Uruguay , South Korea,2022,0.0,0.0
Portugal , Ghana,2022,2.3405414018338697,0.7611910973577228
South Korea , Ghana,2022,0.0,0.0
Portugal , Uruguay,2022,2.242329616598732,0.7689055901289005
Ghana , Uruguay,2022,1.4211057586522937,1.6107734818923356
South Korea , Portugal,2022,0.0,0.0
